Responsible,Prerequisites
Caroline Sonja Weckerle,This module is open for students of the Mono or Major Bachelor in Biology or the consecutive Minor in Biology at Master level.
Thomas Zerback,Multivariate Statistik erfolgreich absolviert
Johannes Kabatek,erfolgreich absolvierte
Martin-Dietrich Glessgen,erfolgreich absolvierte
Michele Loporcaro,erfolgreich absolvierte
Johannes Kabatek,erfolgreich absolvierte
Michele Loporcaro,erfolgreich absolvierte
Rico Franc Valär,erfolgreich absolvierte
Johannes Kabatek,erfolgreich absolvierte
Johannes Kabatek,
